filename,AcquisitionNumber,ImagePositionPatient,SeriesNumber,SliceLocation
1.3.12.2.1107.5.2.19.45698.2016021209213333634873144,1,"[93.076359129924, -63.370340664944, -142.70239727564]",72,-170.51505036815
1.3.12.2.1107.5.2.19.45698.2016021209274615689675509,1,"[153.5627959738, -131.55835231122, -204.67201988764]",74,-280.73504901184
1.3.12.2.1107.5.2.19.45698.201602120927292518275370,1,"[148.06403193571, -125.35944207486, -199.03841774531]",74,-270.7150506504
1.3.12.2.1107.5.2.19.45698.2016021209251612297173993,1,"[87.577593184489, -57.171427090726, -137.06879513331]",74,-160.49504889503
1.3.12.2.1107.5.2.19.45698.2016021209272162579275276,1,"[142.56526026823, -119.16053231534, -193.40481560298]",74,-260.69504839712
1.3.12.2.1107.5.2.19.45698.2016021209251631501174017,1,"[87.577593184489, -57.171427090726, -137.06879513331]",74,-160.49504889503
1.3.12.2.1107.5.2.19.45698.2016021209263972453174865,1,"[126.06896052458, -100.56379922207, -176.50401108332]",74,-230.63504872337
1.3.12.2.1107.5.2.19.45698.2016021209215034447073219,1,"[98.575125075358, -69.569246609769, -148.33599917956]",72,-180.53504698728
1.3.12.2.1107.5.2.19.45698.2016021209215866790673379,1,"[104.07389292814, -75.768160183987, -153.96960156031]",72,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209221692082773498,1,"[109.57266078092, -81.967069943509, -159.60320370265]",72,-200.57504980102
1.3.12.2.1107.5.2.19.45698.2016021209272919557575392,1,"[148.06403193571, -125.35944207486, -199.03841774531]",74,-270.7150506504
1.3.12.2.1107.5.2.19.45698.2016021209212549593273025,1,"[87.577593184489, -57.171427090726, -137.06879513331]",72,-160.49504889503
1.3.12.2.1107.5.2.19.45698.201602120927295120475377,1,"[148.06403193571, -125.35944207486, -199.03841774531]",74,-270.7150506504
1.3.12.2.1107.5.2.19.45698.2016021209272920932275395,1,"[148.06403193571, -125.35944207486, -199.03841774531]",74,-270.7150506504
1.3.12.2.1107.5.2.19.45698.2016021209265677037674996,1,"[131.56773219206, -106.76271088894, -182.13761322566]",74,-240.65505215664
1.3.12.2.1107.5.2.19.45698.2016021209251645042474032,1,"[87.577593184489, -57.171427090726, -137.06879513331]",74,-160.49504889503
1.3.12.2.1107.5.2.19.45698.2016021209254955712974360,1,"[104.07389292814, -75.768160183987, -153.96960156031]",74,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209265662201174982,1,"[131.56773219206, -106.76271088894, -182.13761322566]",74,-240.65505215664
1.3.12.2.1107.5.2.19.45698.2016021209254950322374346,1,"[104.07389292814, -75.768160183987, -153.96960156031]",74,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209274591700275486,1,"[153.5627959738, -131.55835231122, -204.67201988764]",74,-280.73504901184
1.3.12.2.1107.5.2.19.45698.2016021209215869400473387,1,"[104.07389292814, -75.768160183987, -153.96960156031]",72,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209275379937875608,1,"[159.06156001188, -137.75726254757, -210.30562202998]",74,-290.75504737327
1.3.12.2.1107.5.2.19.45698.2016021209275415781275657,1,"[159.06156001188, -137.75726254757, -210.30562202998]",74,-290.75504737327
1.3.12.2.1107.5.2.19.45698.2016021209270376608775133,1,"[137.06649623014, -112.96162064847, -187.77121346064]",74,-250.6750491507
1.3.12.2.1107.5.2.19.45698.2016021209251617419373996,1,"[87.577593184489, -57.171427090726, -137.06879513331]",74,-160.49504889503
1.3.12.2.1107.5.2.19.45698.2016021209254986779274395,1,"[104.07389292814, -75.768160183987, -153.96960156031]",74,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209215055587373246,1,"[98.575125075358, -69.569246609769, -148.33599917956]",72,-180.53504698728
1.3.12.2.1107.5.2.19.45698.201602120922177195073516,1,"[109.57266078092, -81.967069943509, -159.60320370265]",72,-200.57504980102
1.3.12.2.1107.5.2.19.45698.2016021209275395873475626,1,"[159.06156001188, -137.75726254757, -210.30562202998]",74,-290.75504737327
1.3.12.2.1107.5.2.19.45698.2016021209254990084874401,1,"[104.07389292814, -75.768160183987, -153.96960156031]",74,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209221697811273504,1,"[109.57266078092, -81.967069943509, -159.60320370265]",72,-200.57504980102
1.3.12.2.1107.5.2.19.45698.2016021209215034970573221,1,"[98.575125075358, -69.569246609769, -148.33599917956]",72,-180.53504698728
1.3.12.2.1107.5.2.19.45698.2016021209263255366074786,1,"[120.57019648649, -94.364889462552, -170.87040894099]",74,-220.61505065693
1.3.12.2.1107.5.2.19.45698.2016021209260678718574487,1,"[109.57266078092, -81.967069943509, -159.60320370265]",74,-200.57504980102
1.3.12.2.1107.5.2.19.45698.201602120926404972874907,1,"[126.06896052458, -100.56379922207, -176.50401108332]",74,-230.63504872337
1.3.12.2.1107.5.2.19.45698.2016021209272146297575260,1,"[142.56526026823, -119.16053231534, -193.40481560298]",74,-260.69504839712
1.3.12.2.1107.5.2.19.45698.2016021209215869731773388,1,"[104.07389292814, -75.768160183987, -153.96960156031]",72,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209263231923674755,1,"[120.57019648649, -94.364889462552, -170.87040894099]",74,-220.61505065693
1.3.12.2.1107.5.2.19.45698.2016021209215072855573266,1,"[98.575125075358, -69.569246609769, -148.33599917956]",72,-180.53504698728
1.3.12.2.1107.5.2.19.45698.2016021209213319385373123,1,"[93.076359129924, -63.370340664944, -142.70239727564]",72,-170.51505036815
1.3.12.2.1107.5.2.19.45698.2016021209252382828274112,1,"[93.076359129924, -63.370340664944, -142.70239727564]",74,-170.51505036815
1.3.12.2.1107.5.2.19.45698.2016021209215036414573224,1,"[98.575125075358, -69.569246609769, -148.33599917956]",72,-180.53504698728
1.3.12.2.1107.5.2.19.45698.2016021209272168171175282,1,"[142.56526026823, -119.16053231534, -193.40481560298]",74,-260.69504839712
1.3.12.2.1107.5.2.19.45698.2016021209221668073673467,1,"[109.57266078092, -81.967069943509, -159.60320370265]",72,-200.57504980102
1.3.12.2.1107.5.2.19.45698.2016021209215836487373346,1,"[104.07389292814, -75.768160183987, -153.96960156031]",72,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209213292098973086,1,"[93.076359129924, -63.370340664944, -142.70239727564]",72,-170.51505036815
1.3.12.2.1107.5.2.19.45698.2016021209212525777072992,1,"[87.577593184489, -57.171427090726, -137.06879513331]",72,-160.49504889503
1.3.12.2.1107.5.2.19.45698.2016021209263211565274733,1,"[120.57019648649, -94.364889462552, -170.87040894099]",74,-220.61505065693
1.3.12.2.1107.5.2.19.45698.2016021209213338416973150,1,"[93.076359129924, -63.370340664944, -142.70239727564]",72,-170.51505036815
1.3.12.2.1107.5.2.19.45698.2016021209252376317674096,1,"[93.076359129924, -63.370340664944, -142.70239727564]",74,-170.51505036815
1.3.12.2.1107.5.2.19.45698.2016021209254191365174236,1,"[98.575125075358, -69.569246609769, -148.33599917956]",74,-180.53504698728
1.3.12.2.1107.5.2.19.45698.2016021209213296378873095,1,"[93.076359129924, -63.370340664944, -142.70239727564]",72,-170.51505036815
1.3.12.2.1107.5.2.19.45698.2016021209213327163673135,1,"[93.076359129924, -63.370340664944, -142.70239727564]",72,-170.51505036815
1.3.12.2.1107.5.2.19.45698.2016021209270391303275148,1,"[137.06649623014, -112.96162064847, -187.77121346064]",74,-250.6750491507
